website_session_id,user_id,billing_version,billing_pageview_id,billing_exposure_at,device_type,is_repeat_session,utm_source,utm_campaign,purchased,order_count,revenue
25325,23266,treatment,53550,"2012-09-10 00:13:05",desktop,0,gsearch,nonbrand,1,1,49.99
25343,23284,control,53583,"2012-09-10 05:39:09",desktop,0,gsearch,nonbrand,1,1,49.99
25353,23291,control,53610,"2012-09-10 07:53:37",desktop,0,gsearch,nonbrand,1,1,49.99
25358,23064,treatment,53628,"2012-09-10 08:36:13",desktop,1,gsearch,brand,1,1,49.99
25368,23305,control,53662,"2012-09-10 09:26:12",desktop,0,gsearch,nonbrand,1,1,49.99
25393,23327,control,53718,"2012-09-10 11:22:08",mobile,0,gsearch,nonbrand,1,1,49.99
25411,23343,treatment,53753,"2012-09-10 12:22:36",desktop,0,gsearch,nonbrand,1,1,49.99
25454,7473,treatment,53839,"2012-09-10 15:08:37",desktop,1,gsearch,brand,1,1,49.99
25459,23386,treatment,53854,"2012-09-10 15:18:08",desktop,0,bsearch,nonbrand,0,0,0.00
25468,23395,control,53866,"2012-09-10 15:34:36",desktop,0,gsearch,nonbrand,0,0,0.00
25488,19982,control,53913,"2012-09-10 17:04:55",desktop,1,NULL,NULL,0,0,0.00
25508,23426,control,53962,"2012-09-10 18:23:00",desktop,0,bsearch,nonbrand,1,1,49.99
25516,23433,treatment,53977,"2012-09-10 19:10:27",desktop,0,gsearch,nonbrand,1,1,49.99
25518,23435,control,53986,"2012-09-10 19:22:22",mobile,0,gsearch,nonbrand,0,0,0.00
25533,23448,control,54024,"2012-09-10 21:37:51",desktop,0,bsearch,nonbrand,0,0,0.00
25539,23452,control,54034,"2012-09-10 21:59:56",desktop,0,bsearch,nonbrand,1,1,49.99
25565,21689,treatment,54102,"2012-09-11 00:34:17",desktop,1,NULL,NULL,1,1,49.99
25601,13329,control,54182,"2012-09-11 06:41:55",desktop,1,bsearch,brand,1,1,49.99
25620,23522,control,54210,"2012-09-11 08:36:34",desktop,0,NULL,NULL,0,0,0.00
25629,23531,treatment,54231,"2012-09-11 09:28:33",desktop,0,gsearch,nonbrand,0,0,0.00
25639,23540,treatment,54249,"2012-09-11 10:16:07",desktop,0,gsearch,nonbrand,1,1,49.99
25646,23546,treatment,54268,"2012-09-11 10:54:40",desktop,0,gsearch,nonbrand,1,1,49.99
25662,23560,control,54316,"2012-09-11 12:10:51",desktop,0,bsearch,nonbrand,0,0,0.00
25664,23562,control,54320,"2012-09-11 12:14:41",mobile,0,gsearch,nonbrand,1,1,49.99
25680,18214,treatment,54345,"2012-09-11 13:01:16",desktop,1,gsearch,brand,0,0,0.00
25691,23587,treatment,54375,"2012-09-11 13:44:44",desktop,0,bsearch,nonbrand,1,1,49.99
25690,23586,control,54377,"2012-09-11 13:45:16",desktop,0,gsearch,nonbrand,0,0,0.00
25697,23593,treatment,54390,"2012-09-11 14:02:17",desktop,0,gsearch,nonbrand,0,0,0.00
25699,23595,control,54396,"2012-09-11 14:07:49",desktop,0,gsearch,nonbrand,0,0,0.00
25701,23597,treatment,54407,"2012-09-11 14:28:51",desktop,0,gsearch,nonbrand,0,0,0.00
25719,23613,treatment,54442,"2012-09-11 15:34:11",desktop,0,gsearch,nonbrand,1,1,49.99
25724,23617,treatment,54465,"2012-09-11 16:11:31",desktop,0,gsearch,nonbrand,0,0,0.00
25744,23634,control,54500,"2012-09-11 17:09:47",desktop,0,gsearch,nonbrand,0,0,0.00
25773,23663,control,54559,"2012-09-11 19:14:30",desktop,0,gsearch,nonbrand,1,1,49.99
25791,23678,treatment,54596,"2012-09-11 21:09:53",desktop,0,gsearch,nonbrand,0,0,0.00
25802,20876,control,54626,"2012-09-11 22:33:42",desktop,1,gsearch,brand,1,1,49.99
25807,23691,treatment,54635,"2012-09-11 22:52:05",desktop,0,gsearch,nonbrand,0,0,0.00
25814,23698,control,54648,"2012-09-12 00:47:00",desktop,0,gsearch,nonbrand,1,1,49.99
25816,23700,treatment,54656,"2012-09-12 01:29:42",desktop,0,bsearch,nonbrand,1,1,49.99
