covariate,category,control_count,treatment_count,control_share,treatment_share,share_difference_treatment_minus_control
device_type,desktop,585,569,0.8904109589041096,0.8700305810397554,-0.020380377864354204
device_type,mobile,72,85,0.1095890410958904,0.12996941896024464,0.020380377864354232
is_repeat_session,0,571,574,0.8691019786910198,0.8776758409785933,0.008573862287573508
is_repeat_session,1,86,80,0.1308980213089802,0.12232415902140673,-0.00857386228757348
utm_source,(missing),87,72,0.1324200913242009,0.11009174311926606,-0.022328348204934845
utm_source,bsearch,141,155,0.2146118721461187,0.23700305810397554,0.02239118595785683
utm_source,gsearch,429,427,0.6529680365296804,0.6529051987767585,-6.283775292192928e-05
utm_campaign,(missing),87,72,0.1324200913242009,0.11009174311926606,-0.022328348204934845
utm_campaign,brand,35,42,0.0532724505327245,0.06422018348623854,0.010947732953514033
utm_campaign,nonbrand,535,540,0.8143074581430746,0.8256880733944955,0.011380615251420867
experiment_date,2012-09-10,10,6,0.015220700152207,0.009174311926605505,-0.006046388225601496
experiment_date,2012-09-11,9,12,0.0136986301369863,0.01834862385321101,0.00464999371622471
experiment_date,2012-09-12,15,7,0.0228310502283105,0.010703363914373088,-0.012127686313937413
experiment_date,2012-09-13,6,17,0.0091324200913242,0.02599388379204893,0.01686146370072473
experiment_date,2012-09-14,11,8,0.0167427701674277,0.012232415902140673,-0.004510354265287028
experiment_date,2012-09-15,3,8,0.0045662100456621,0.012232415902140673,0.007666205856478573
experiment_date,2012-09-16,6,6,0.0091324200913242,0.009174311926605505,4.189183528130469e-05
experiment_date,2012-09-17,8,12,0.0121765601217656,0.01834862385321101,0.00617206373144541
experiment_date,2012-09-18,15,12,0.0228310502283105,0.01834862385321101,-0.004482426375099491
experiment_date,2012-09-19,19,12,0.0289193302891933,0.01834862385321101,-0.010570706435982291
experiment_date,2012-09-20,11,16,0.0167427701674277,0.024464831804281346,0.007722061636853645
experiment_date,2012-09-21,6,11,0.0091324200913242,0.016819571865443424,0.007687151774119223
experiment_date,2012-09-22,5,11,0.0076103500761035,0.016819571865443424,0.009209221789339923
experiment_date,2012-09-23,6,4,0.0091324200913242,0.0061162079510703364,-0.003016212140253864
experiment_date,2012-09-24,15,7,0.0228310502283105,0.010703363914373088,-0.012127686313937413
experiment_date,2012-09-25,9,14,0.0136986301369863,0.021406727828746176,0.007708097691759876
experiment_date,2012-09-26,9,11,0.0136986301369863,0.016819571865443424,0.003120941728457123
experiment_date,2012-09-27,15,8,0.0228310502283105,0.012232415902140673,-0.010598634326169828
experiment_date,2012-09-28,16,9,0.0243531202435312,0.013761467889908258,-0.010591652353622943
experiment_date,2012-09-29,5,5,0.0076103500761035,0.00764525993883792,3.490986273442e-05
experiment_date,2012-09-30,4,6,0.0060882800608828,0.009174311926605505,0.003086031865722705
experiment_date,2012-10-01,12,10,0.0182648401826484,0.01529051987767584,-0.00297432030497256
experiment_date,2012-10-02,14,14,0.0213089802130898,0.021406727828746176,9.77476156563753e-05
experiment_date,2012-10-03,5,10,0.0076103500761035,0.01529051987767584,0.00768016980157234
experiment_date,2012-10-04,10,6,0.015220700152207,0.009174311926605505,-0.006046388225601496
experiment_date,2012-10-05,14,8,0.0213089802130898,0.012232415902140673,-0.009076564310949128
experiment_date,2012-10-06,4,7,0.0060882800608828,0.010703363914373088,0.004615083853490288
experiment_date,2012-10-07,3,3,0.0045662100456621,0.0045871559633027525,2.0945917640652345e-05
experiment_date,2012-10-08,12,13,0.0182648401826484,0.019877675840978593,0.0016128356583301924
experiment_date,2012-10-09,11,10,0.0167427701674277,0.01529051987767584,-0.00145225028975186
experiment_date,2012-10-10,10,14,0.015220700152207,0.021406727828746176,0.006186027676539176
experiment_date,2012-10-11,11,12,0.0167427701674277,0.01834862385321101,0.0016058536857833094
experiment_date,2012-10-12,7,17,0.0106544901065449,0.02599388379204893,0.015339393685504028
experiment_date,2012-10-13,6,6,0.0091324200913242,0.009174311926605505,4.189183528130469e-05
experiment_date,2012-10-14,6,6,0.0091324200913242,0.009174311926605505,4.189183528130469e-05
experiment_date,2012-10-15,11,11,0.0167427701674277,0.016819571865443424,7.680169801572295e-05
experiment_date,2012-10-16,11,11,0.0167427701674277,0.016819571865443424,7.680169801572295e-05
experiment_date,2012-10-17,16,13,0.0243531202435312,0.019877675840978593,-0.004475444402552608
experiment_date,2012-10-18,19,20,0.0289193302891933,0.03058103975535168,0.00166170946615838
experiment_date,2012-10-19,15,14,0.0228310502283105,0.021406727828746176,-0.0014243223995643248
experiment_date,2012-10-20,5,3,0.0076103500761035,0.0045871559633027525,-0.003023194112800748
experiment_date,2012-10-21,8,10,0.0121765601217656,0.01529051987767584,0.00311395975591024
experiment_date,2012-10-22,14,12,0.0213089802130898,0.01834862385321101,-0.0029603563598787908
experiment_date,2012-10-23,12,19,0.0182648401826484,0.0290519877675841,0.010787147584935698
experiment_date,2012-10-24,9,21,0.0136986301369863,0.03211009174311927,0.018411461606132967
experiment_date,2012-10-25,18,10,0.0273972602739726,0.01529051987767584,-0.01210674039629676
experiment_date,2012-10-26,16,16,0.0243531202435312,0.024464831804281346,0.00011171156075014468
experiment_date,2012-10-27,7,7,0.0106544901065449,0.010703363914373088,4.887380782818765e-05
experiment_date,2012-10-28,8,3,0.0121765601217656,0.0045871559633027525,-0.007589404158462848
experiment_date,2012-10-29,8,13,0.0121765601217656,0.019877675840978593,0.007701115719212993
experiment_date,2012-10-30,14,11,0.0213089802130898,0.016819571865443424,-0.004489408347646377
experiment_date,2012-10-31,22,19,0.0334855403348554,0.0290519877675841,-0.004433552567271303
experiment_date,2012-11-01,18,11,0.0273972602739726,0.016819571865443424,-0.010577688408529178
experiment_date,2012-11-02,13,12,0.0197869101978691,0.01834862385321101,-0.0014382863446580907
experiment_date,2012-11-03,6,3,0.0091324200913242,0.0045871559633027525,-0.004545264128021448
experiment_date,2012-11-04,8,7,0.0121765601217656,0.010703363914373088,-0.0014731962073925124
experiment_date,2012-11-05,16,9,0.0243531202435312,0.013761467889908258,-0.010591652353622943
experiment_date,2012-11-06,16,17,0.0243531202435312,0.02599388379204893,0.0016407635485177277
experiment_date,2012-11-07,14,18,0.0213089802130898,0.027522935779816515,0.006213955566726714
experiment_date,2012-11-08,12,10,0.0182648401826484,0.01529051987767584,-0.00297432030497256
experiment_date,2012-11-09,13,16,0.0197869101978691,0.024464831804281346,0.004677921606412245
