website_session_id,user_id,billing_version,billing_pageview_id,billing_exposure_at,experiment_date,device_type,is_repeat_session,utm_source,utm_campaign,session_cross_exposure_flag,user_cross_group_flag,purchased,order_id,gross_revenue,refund_amount,net_revenue,refunded_order_flag
25325,23266,treatment,53550,2012-09-10 00:13:05,2012-09-10,desktop,0,gsearch,nonbrand,0,0,1,871.0,49.99,0.0,49.99,0
25343,23284,control,53583,2012-09-10 05:39:09,2012-09-10,desktop,0,gsearch,nonbrand,0,0,1,872.0,49.99,0.0,49.99,0
25353,23291,control,53610,2012-09-10 07:53:37,2012-09-10,desktop,0,gsearch,nonbrand,0,0,1,873.0,49.99,0.0,49.99,0
25358,23064,treatment,53628,2012-09-10 08:36:13,2012-09-10,desktop,1,gsearch,brand,0,0,1,874.0,49.99,0.0,49.99,0
25368,23305,control,53662,2012-09-10 09:26:12,2012-09-10,desktop,0,gsearch,nonbrand,0,0,1,875.0,49.99,0.0,49.99,0
25393,23327,control,53718,2012-09-10 11:22:08,2012-09-10,mobile,0,gsearch,nonbrand,0,0,1,876.0,49.99,0.0,49.99,0
25411,23343,treatment,53753,2012-09-10 12:22:36,2012-09-10,desktop,0,gsearch,nonbrand,0,0,1,877.0,49.99,0.0,49.99,0
25454,7473,treatment,53839,2012-09-10 15:08:37,2012-09-10,desktop,1,gsearch,brand,0,0,1,878.0,49.99,0.0,49.99,0
25459,23386,treatment,53854,2012-09-10 15:18:08,2012-09-10,desktop,0,bsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25468,23395,control,53866,2012-09-10 15:34:36,2012-09-10,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25488,19982,control,53913,2012-09-10 17:04:55,2012-09-10,desktop,1,,,0,0,0,,0.0,0.0,0.0,0
25508,23426,control,53962,2012-09-10 18:23:00,2012-09-10,desktop,0,bsearch,nonbrand,0,0,1,879.0,49.99,0.0,49.99,0
25516,23433,treatment,53977,2012-09-10 19:10:27,2012-09-10,desktop,0,gsearch,nonbrand,0,0,1,880.0,49.99,0.0,49.99,0
25518,23435,control,53986,2012-09-10 19:22:22,2012-09-10,mobile,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25533,23448,control,54024,2012-09-10 21:37:51,2012-09-10,desktop,0,bsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25539,23452,control,54034,2012-09-10 21:59:56,2012-09-10,desktop,0,bsearch,nonbrand,0,0,1,881.0,49.99,0.0,49.99,0
25565,21689,treatment,54102,2012-09-11 00:34:17,2012-09-11,desktop,1,,,0,0,1,882.0,49.99,0.0,49.99,0
25601,13329,control,54182,2012-09-11 06:41:55,2012-09-11,desktop,1,bsearch,brand,0,0,1,883.0,49.99,49.99,0.0,1
25620,23522,control,54210,2012-09-11 08:36:34,2012-09-11,desktop,0,,,0,0,0,,0.0,0.0,0.0,0
25629,23531,treatment,54231,2012-09-11 09:28:33,2012-09-11,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25639,23540,treatment,54249,2012-09-11 10:16:07,2012-09-11,desktop,0,gsearch,nonbrand,0,0,1,884.0,49.99,0.0,49.99,0
25646,23546,treatment,54268,2012-09-11 10:54:40,2012-09-11,desktop,0,gsearch,nonbrand,0,0,1,885.0,49.99,0.0,49.99,0
25662,23560,control,54316,2012-09-11 12:10:51,2012-09-11,desktop,0,bsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25664,23562,control,54320,2012-09-11 12:14:41,2012-09-11,mobile,0,gsearch,nonbrand,0,0,1,886.0,49.99,0.0,49.99,0
25680,18214,treatment,54345,2012-09-11 13:01:16,2012-09-11,desktop,1,gsearch,brand,0,0,0,,0.0,0.0,0.0,0
25691,23587,treatment,54375,2012-09-11 13:44:44,2012-09-11,desktop,0,bsearch,nonbrand,0,0,1,887.0,49.99,0.0,49.99,0
25690,23586,control,54377,2012-09-11 13:45:16,2012-09-11,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25697,23593,treatment,54390,2012-09-11 14:02:17,2012-09-11,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25699,23595,control,54396,2012-09-11 14:07:49,2012-09-11,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25701,23597,treatment,54407,2012-09-11 14:28:51,2012-09-11,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25719,23613,treatment,54442,2012-09-11 15:34:11,2012-09-11,desktop,0,gsearch,nonbrand,0,0,1,888.0,49.99,0.0,49.99,0
25724,23617,treatment,54465,2012-09-11 16:11:31,2012-09-11,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25744,23634,control,54500,2012-09-11 17:09:47,2012-09-11,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25773,23663,control,54559,2012-09-11 19:14:30,2012-09-11,desktop,0,gsearch,nonbrand,0,0,1,889.0,49.99,0.0,49.99,0
25791,23678,treatment,54596,2012-09-11 21:09:53,2012-09-11,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25802,20876,control,54626,2012-09-11 22:33:42,2012-09-11,desktop,1,gsearch,brand,0,0,1,890.0,49.99,0.0,49.99,0
25807,23691,treatment,54635,2012-09-11 22:52:05,2012-09-11,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25814,23698,control,54648,2012-09-12 00:47:00,2012-09-12,desktop,0,gsearch,nonbrand,0,0,1,891.0,49.99,0.0,49.99,0
25816,23700,treatment,54656,2012-09-12 01:29:42,2012-09-12,desktop,0,bsearch,nonbrand,0,0,1,892.0,49.99,0.0,49.99,0
25826,23710,control,54689,2012-09-12 03:06:29,2012-09-12,desktop,0,gsearch,nonbrand,0,0,1,893.0,49.99,0.0,49.99,0
25836,23720,control,54713,2012-09-12 06:17:19,2012-09-12,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25848,23731,control,54737,2012-09-12 07:45:37,2012-09-12,desktop,0,gsearch,nonbrand,0,0,1,894.0,49.99,0.0,49.99,0
25860,23742,treatment,54767,2012-09-12 09:02:09,2012-09-12,desktop,0,gsearch,nonbrand,0,0,1,895.0,49.99,0.0,49.99,0
25874,23754,control,54801,2012-09-12 10:04:26,2012-09-12,desktop,0,bsearch,nonbrand,0,0,1,896.0,49.99,0.0,49.99,0
25875,23755,treatment,54803,2012-09-12 10:06:12,2012-09-12,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25880,17179,control,54822,2012-09-12 10:39:53,2012-09-12,mobile,1,,,0,0,1,897.0,49.99,0.0,49.99,0
25882,23760,control,54825,2012-09-12 10:41:43,2012-09-12,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25907,23782,treatment,54873,2012-09-12 12:21:31,2012-09-12,desktop,0,gsearch,nonbrand,0,0,1,898.0,49.99,0.0,49.99,0
25918,23793,control,54894,2012-09-12 12:58:48,2012-09-12,desktop,0,gsearch,nonbrand,0,0,1,899.0,49.99,0.0,49.99,0
25936,23810,control,54932,2012-09-12 13:58:31,2012-09-12,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
25979,23851,treatment,54999,2012-09-12 16:53:46,2012-09-12,desktop,0,bsearch,nonbrand,0,0,1,900.0,49.99,49.99,0.0,1
25997,23868,treatment,55041,2012-09-12 17:58:43,2012-09-12,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26017,23887,control,55083,2012-09-12 19:23:02,2012-09-12,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26021,23891,treatment,55095,2012-09-12 19:37:38,2012-09-12,desktop,0,gsearch,nonbrand,0,0,1,901.0,49.99,0.0,49.99,0
26022,23892,control,55099,2012-09-12 19:42:56,2012-09-12,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26024,17194,control,55107,2012-09-12 20:03:31,2012-09-12,desktop,1,,,0,0,1,902.0,49.99,0.0,49.99,0
26036,23905,control,55129,2012-09-12 21:05:28,2012-09-12,desktop,0,bsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26039,23908,control,55141,2012-09-12 21:53:30,2012-09-12,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26048,23915,control,55159,2012-09-12 22:58:29,2012-09-12,mobile,0,gsearch,nonbrand,0,0,1,903.0,49.99,0.0,49.99,0
26092,17221,control,55241,2012-09-13 05:41:55,2012-09-13,desktop,1,,,0,0,1,904.0,49.99,0.0,49.99,0
26093,16542,control,55248,2012-09-13 06:23:20,2012-09-13,desktop,1,gsearch,brand,0,0,1,905.0,49.99,49.99,0.0,1
26105,23966,treatment,55278,2012-09-13 07:32:09,2012-09-13,desktop,0,gsearch,nonbrand,0,0,1,906.0,49.99,0.0,49.99,0
26114,23972,treatment,55304,2012-09-13 08:39:16,2012-09-13,mobile,0,gsearch,nonbrand,0,0,1,907.0,49.99,0.0,49.99,0
26119,23977,treatment,55312,2012-09-13 08:44:44,2012-09-13,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26120,23978,treatment,55317,2012-09-13 08:50:44,2012-09-13,desktop,0,gsearch,nonbrand,0,0,1,908.0,49.99,0.0,49.99,0
26127,23984,treatment,55336,2012-09-13 09:18:28,2012-09-13,desktop,0,gsearch,nonbrand,0,0,1,909.0,49.99,0.0,49.99,0
26136,23993,control,55353,2012-09-13 10:00:55,2012-09-13,desktop,0,bsearch,nonbrand,0,0,1,910.0,49.99,49.99,0.0,1
26175,24029,control,55423,2012-09-13 12:04:34,2012-09-13,desktop,0,gsearch,nonbrand,0,0,1,911.0,49.99,0.0,49.99,0
26196,24049,control,55467,2012-09-13 12:56:06,2012-09-13,desktop,0,gsearch,nonbrand,0,0,1,912.0,49.99,0.0,49.99,0
26213,24063,treatment,55499,2012-09-13 14:13:50,2012-09-13,mobile,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
26222,24071,treatment,55521,2012-09-13 14:41:00,2012-09-13,desktop,0,gsearch,nonbrand,0,1,1,913.0,49.99,0.0,49.99,0
26230,24078,control,55535,2012-09-13 15:14:03,2012-09-13,desktop,0,gsearch,nonbrand,0,0,1,914.0,49.99,0.0,49.99,0
26234,24081,treatment,55555,2012-09-13 15:31:33,2012-09-13,desktop,0,bsearch,nonbrand,0,0,1,915.0,49.99,0.0,49.99,0
26243,21657,treatment,55571,2012-09-13 15:55:21,2012-09-13,desktop,1,,,0,0,1,917.0,49.99,0.0,49.99,0
26242,24088,treatment,55573,2012-09-13 15:55:41,2012-09-13,desktop,0,bsearch,nonbrand,0,0,1,916.0,49.99,0.0,49.99,0
26272,24116,treatment,55630,2012-09-13 17:41:28,2012-09-13,desktop,0,bsearch,nonbrand,0,0,1,918.0,49.99,0.0,49.99,0
26277,24121,treatment,55644,2012-09-13 18:11:58,2012-09-13,desktop,0,gsearch,nonbrand,0,0,1,919.0,49.99,0.0,49.99,0
26285,24128,treatment,55672,2012-09-13 18:49:15,2012-09-13,desktop,0,gsearch,nonbrand,0,0,1,920.0,49.99,0.0,49.99,0
26284,24127,treatment,55679,2012-09-13 18:51:49,2012-09-13,desktop,0,gsearch,nonbrand,0,0,0,,0.0,0.0,0.0,0
