month,sessions,orders,purchase_conversion_rate,revenue,revenue_per_session
2012-03-01,1879,60,0.031931878658861094,2999.4,1.5962746141564663
2012-04-01,3734,99,0.026513122656668452,4949.01,1.325391001606856
2012-05-01,3736,108,0.028907922912205567,5398.92,1.4451070663811563
2012-06-01,3963,140,0.03532677264698461,6998.6,1.7659853646227606
2012-07-01,4249,169,0.03977406448576135,8448.31,1.9883054836432101
2012-08-01,6097,228,0.03739544038051501,11397.720000000001,1.8693980646219455
2012-09-01,6546,287,0.04384356859150626,14347.130000000001,2.1917399938893984
2012-10-01,8183,371,0.045337895637296836,18546.29,2.2664414029084687
2012-11-01,14011,618,0.044108200699450435,30893.82,2.204968952965527
2012-12-01,10072,506,0.05023828435266084,25294.940000000002,2.5114118347895156
2013-01-01,6401,391,0.06108420559287611,20016.09,3.1270254647711297
2013-02-01,7168,497,0.0693359375,26465.030000000002,3.692107979910715
2013-03-01,6264,385,0.06146232439335888,19896.15,3.176269157088123
2013-04-01,7971,553,0.06937648977543595,28584.47,3.586058211014929
2013-05-01,8449,571,0.06758196236240975,29364.29,3.4754752041661736
2013-06-01,8325,594,0.07135135135135136,30594.06,3.674962162162162
2013-07-01,8903,603,0.06772997865887903,31093.97,3.49252723800966
2013-08-01,9180,608,0.06623093681917211,31373.920000000002,3.41763834422658
2013-09-01,9580,629,0.06565762004175366,32723.65,3.415829853862213
2013-10-01,10773,708,0.0657198551935394,38242.62,3.549857978279031
2013-11-01,14032,861,0.06135974914481186,46631.020000000004,3.323191277080958
2013-12-01,15735,1047,0.0665395614871306,58262.600000000006,3.7027391166190027
2014-01-01,14825,983,0.06630691399662732,56628.880000000005,3.8198232715008436
2014-02-01,16285,1021,0.06269573226895916,66032.51000000001,4.054805649370587
2014-03-01,15669,1065,0.06796860042121386,68109.75,4.346783457782883
2014-04-01,17353,1241,0.07151501181351928,78725.43000000001,4.5367043162565555
2014-05-01,18061,1368,0.07574331432368087,88935.27,4.9241608991750185
2014-06-01,17715,1239,0.06994072819644369,80051.25,4.518839966130398
2014-07-01,19038,1287,0.06760163882760795,83348.54000000001,4.378009244668558
2014-08-01,18590,1324,0.07122108660570199,84656.09,4.553850995158688
2014-09-01,19513,1424,0.0729769896991749,92232.49,4.7267201352944195
2014-10-01,21526,1609,0.07474681780172815,103905.98000000001,4.826998977980118
2014-11-01,25125,1985,0.07900497512437811,128162.98000000001,5.101014129353234
2014-12-01,29722,2314,0.07785478769934728,144823.02000000002,4.872586636161766
2015-01-01,25337,2099,0.08284327268421676,132291.52000000002,5.221277972924972
2015-02-01,23778,2067,0.0869290941206157,129132.96,5.430774665657331
2015-03-01,15083,1254,0.08313995889411921,78951.07,5.234440761121793
