quarter_start,year_quarter,sessions,purchasing_sessions,orders,purchase_conversion_rate,revenue,revenue_per_session
2012-04-01,2012 Q2,11433,347,347,0.030351,17346.530000,1.517233
2012-07-01,2012 Q3,16892,684,684,0.040493,34193.160000,2.024222
2012-10-01,2012 Q4,32266,1495,1495,0.046334,74735.050000,2.316217
2013-01-01,2013 Q1,19833,1273,1273,0.064186,66377.270000,3.346809
2013-04-01,2013 Q2,24745,1718,1718,0.069428,88542.820000,3.578211
2013-07-01,2013 Q3,27663,1840,1840,0.066515,95191.540000,3.441114
2013-10-01,2013 Q4,40540,2616,2616,0.064529,143136.240000,3.530741
2014-01-01,2014 Q1,46779,3069,3069,0.065606,190771.140000,4.078136
2014-04-01,2014 Q2,53129,3848,3848,0.072427,247711.950000,4.662462
2014-07-01,2014 Q3,57141,4035,4035,0.070615,260237.120000,4.554298
2014-10-01,2014 Q4,76373,5908,5908,0.077357,376891.980000,4.934885
